,0,name,url,capacity,rpm,cache,interface,PRICE
14,14,WESTERN DIGITAL WD60EFAX-RT [6TB SATA600 5400],https://kakaku.com/item/K0001135667/,6000.0,5400.0,256000.0,SerialATA600,22380
15,16,WESTERN DIGITAL WD10EZEX [1TB SATA600 7200],https://kakaku.com/item/K0000385373/,1000.0,7200.0,64000.0,SerialATA600,5253
16,17,WESTERN DIGITAL WD30EFRX [3TB SATA600 5400],https://kakaku.com/item/K0000401036/,3000.0,5400.0,64000.0,SerialATA600,11480
17,18,WESTERN DIGITAL WD40PURZ [4TB SATA600 5400],https://kakaku.com/item/K0000966644/,4000.0,5400.0,64000.0,SerialATA600,11435
18,19,SEAGATE ST3000DM007 [3TB SATA600 5400],https://kakaku.com/item/K0001023197/,3000.0,5400.0,256000.0,SerialATA600,7150
19,20,WESTERN DIGITAL WD30EZRZ-RT [3TB SATA600 5400],https://kakaku.com/item/K0000820181/,3000.0,5400.0,64000.0,SerialATA600,7348
20,21,東芝 DT01ACA300 [3TB SATA600 7200],https://kakaku.com/item/K0000406683/,3000.0,7200.0,64000.0,SerialATA600,7141
21,22,SEAGATE ST1000DM010 [1TB SATA600 7200],https://kakaku.com/item/K0000919026/,1000.0,7200.0,64000.0,SerialATA600,4329
22,23,SEAGATE ST2000DM005 [2TB SATA600 5400],https://kakaku.com/item/K0001075415/,2000.0,5400.0,256000.0,SerialATA600,5855
23,24,WESTERN DIGITAL WD82PURZ [8TB SATA600 7200],https://kakaku.com/item/K0001160217/,8000.0,7200.0,256000.0,SerialATA600,24058
24,26,WESTERN DIGITAL WD20PURZ [2TB SATA600 5400],https://kakaku.com/item/K0000966642/,2000.0,5400.0,64000.0,SerialATA600,7186
25,27,WESTERN DIGITAL WD100EFAX [10TB SATA600 5400],https://kakaku.com/item/K0000972162/,10000.0,5400.0,256000.0,SerialATA600,35580
26,29,SEAGATE ST16000VN001 [16TB SATA600 7200],https://kakaku.com/item/K0001177767/,16000.0,7200.0,256000.0,SerialATA600,58980
27,30,WESTERN DIGITAL WD120EFAX [12TB SATA600 5400],https://kakaku.com/item/K0001163678/,12000.0,5400.0,256000.0,SerialATA600,44779
28,33,WESTERN DIGITAL WD30PURZ [3TB SATA600 5400],https://kakaku.com/item/K0000966643/,3000.0,5400.0,64000.0,SerialATA600,8954
29,34,東芝 DT01ACA050 [500GB SATA600 7200],https://kakaku.com/item/K0000391560/,500.0,7200.0,32000.0,SerialATA600,4036
30,35,SEAGATE ST500DM009 [500GB SATA600 7200],https://kakaku.com/item/K0000903571/,500.0,7200.0,32000.0,SerialATA600,4639
31,36,WESTERN DIGITAL WD6003FZBX [6TB SATA600 7200],https://kakaku.com/item/K0001035975/,6000.0,7200.0,256000.0,SerialATA600,26508
32,37,SEAGATE ST8000VN0022 [8TB SATA600 7200],https://kakaku.com/item/K0000896129/,8000.0,7200.0,256000.0,SerialATA600,22880
33,39,WESTERN DIGITAL WD10EFRX [1TB SATA600 5400],https://kakaku.com/item/K0000401034/,1000.0,5400.0,64000.0,SerialATA600,7867
34,40,SEAGATE ST8000VN004 [8TB SATA600 7200],https://kakaku.com/item/K0001174592/,8000.0,7200.0,256000.0,SerialATA600,24728
35,41,WESTERN DIGITAL WD10PURZ [1TB SATA600 5400],https://kakaku.com/item/K0000966641/,1000.0,5400.0,64000.0,SerialATA600,5777
36,42,SEAGATE ST2000VN004 [2TB SATA600 5900],https://kakaku.com/item/K0000896133/,2000.0,5900.0,64000.0,SerialATA600,8930
37,43,WESTERN DIGITAL WD60PURZ [6TB SATA600 5400],https://kakaku.com/item/K0000966645/,6000.0,5400.0,64000.0,SerialATA600,18977
38,44,SEAGATE ST14000VN0008 [14TB SATA600 7200],https://kakaku.com/item/K0001090643/,14000.0,7200.0,256000.0,SerialATA600,49879
39,46,WESTERN DIGITAL WD1003FZEX [1TB SATA600 7200],https://kakaku.com/item/K0000596579/,1000.0,7200.0,64000.0,SerialATA600,7933
40,47,SEAGATE ST3000VN007 [3TB SATA600 5900],https://kakaku.com/item/K0000896132/,3000.0,5900.0,64000.0,SerialATA600,10303
41,48,WESTERN DIGITAL WD2500AAKX [250GB SATA600 7200],https://kakaku.com/item/K0000315145/,250.0,7200.0,16000.0,0,2176
42,50,SEAGATE ST6000VN0033 [6TB SATA600 7200],https://kakaku.com/item/K0001026182/,6000.0,7200.0,256000.0,SerialATA600,18888
43,51,WESTERN DIGITAL WD4003FRYZ [4TB SATA600 7200],https://kakaku.com/item/K0001207347/,4000.0,7200.0,256000.0,SerialATA600,21500
44,53,WESTERN DIGITAL WD121KRYZ [12TB SATA600 7200],https://kakaku.com/item/K0000999796/,12000.0,7200.0,256000.0,SerialATA600,55480
45,54,WESTERN DIGITAL WD140EFFX [14TB SATA600 5400],https://kakaku.com/item/K0001215996/,14000.0,5400.0,512000.0,SerialATA600,62600
46,55,WESTERN DIGITAL WD3200AAJS (320G SATA300 7200),https://kakaku.com/item/05302515805/,320.0,7200.0,8000.0,SerialATA300,2800
47,56,WESTERN DIGITAL WD5000AAKX [500GB SATA600 7200],https://kakaku.com/item/K0000164534/,500.0,7200.0,16000.0,0,4277
48,58,WESTERN DIGITAL WD5000AZRZ-RT [500GB SATA600 5400],https://kakaku.com/item/K0000820665/,500.0,5400.0,64000.0,SerialATA600,5250
49,59,SEAGATE ST12000VN0008 [12TB SATA600 7200],https://kakaku.com/item/K0001167551/,12000.0,7200.0,256000.0,SerialATA600,39930
50,62,WESTERN DIGITAL HUS726T6TALE6L4 [6TB SATA600 7200],https://kakaku.com/item/K0001114936/,6000.0,7200.0,256000.0,SerialATA600,28200
51,63,SEAGATE ST1000VN002 [1TB SATA600 5900],https://kakaku.com/item/K0000896134/,1000.0,5900.0,64000.0,SerialATA600,6813
52,64,WESTERN DIGITAL WD2005FBYZ [2TB SATA600 7200],https://kakaku.com/item/K0000922235/,2000.0,7200.0,128000.0,SerialATA600,13750
53,65,SEAGATE ST10000VN0004 [10TB SATA600 7200],https://kakaku.com/item/K0000896128/,10000.0,7200.0,256000.0,SerialATA600,33006
54,66,WESTERN DIGITAL WD6400AAKS (640G SATA300 7200),https://kakaku.com/item/05302515863/,640.0,7200.0,16000.0,SerialATA300,3264
55,67,WESTERN DIGITAL WD1005FBYZ [1TB SATA600 7200],https://kakaku.com/item/K0000952001/,1000.0,7200.0,128000.0,SerialATA600,9880
56,68,WESTERN DIGITAL WD4005FZBX [4TB SATA600 7200],https://kakaku.com/item/K0001035976/,4000.0,7200.0,256000.0,SerialATA600,21610
57,70,WESTERN DIGITAL WD5000AZLX [500GB SATA600 7200],https://kakaku.com/item/K0000449787/,500.0,7200.0,32000.0,SerialATA600,4799
58,71,SEAGATE ST3160215ACE [160GB U100 7200],https://kakaku.com/item/K0000364318/,160.0,7200.0,2000.0,UltraATA100,5980
59,73,HGST HUS722T2TALA604 [2TB SATA600 7200],https://kakaku.com/item/K0001051522/,2000.0,7200.0,128000.0,SerialATA600,15239
60,74,WESTERN DIGITAL WUH721414ALE6L4 [14TB SATA600 7200],https://kakaku.com/item/K0001127995/,14000.0,7200.0,512000.0,SerialATA600,66578
61,75,SEAGATE ST2000DX002 [2TB SATA600 7200],https://kakaku.com/item/K0000913438/,2000.0,7200.0,64000.0,SerialATA600,10208
62,78,WESTERN DIGITAL WD60EFRX [6TB SATA600 5400],https://kakaku.com/item/K0000678035/,6000.0,5400.0,64000.0,SerialATA600,23980
63,79,WESTERN DIGITAL WD8004FRYZ [8TB SATA600 7200],https://kakaku.com/item/K0001207348/,8000.0,7200.0,256000.0,SerialATA600,38055
64,80,HGST HUH721212ALE600 [12TB SATA600 7200],https://kakaku.com/item/K0000996123/,12000.0,7200.0,256000.0,SerialATA600,54000
65,81,WESTERN DIGITAL HUS726T4TALA6L4 [4TB SATA600 7200],https://kakaku.com/item/K0001114935/,4000.0,7200.0,256000.0,SerialATA600,21349
66,82,WESTERN DIGITAL WD4003FFBX [4TB SATA600 7200],https://kakaku.com/item/K0001046063/,4000.0,7200.0,256000.0,SerialATA600,22880
67,83,WESTERN DIGITAL WD102PURZ [10TB SATA600 7200],https://kakaku.com/item/K0001221780/,10000.0,7200.0,256000.0,SerialATA600,31801
68,84,SEAGATE ST14000NE0008 [14TB SATA600 7200],https://kakaku.com/item/K0001090644/,14000.0,7200.0,256000.0,SerialATA600,50780
69,85,WESTERN DIGITAL WD141KRYZ [14TB SATA600 7200],https://kakaku.com/item/K0001207349/,14000.0,7200.0,512000.0,SerialATA600,70706
70,86,SEAGATE ST380215ACE [80GB U100 7200],https://kakaku.com/item/K0000364320/,80.0,7200.0,2000.0,UltraATA100,3950
71,88,WESTERN DIGITAL WD20EFRX [2TB SATA600 5400],https://kakaku.com/item/K0000401035/,2000.0,5400.0,64000.0,SerialATA600,9900
72,90,WESTERN DIGITAL WD2003FZEX [2TB SATA600 7200],https://kakaku.com/item/K0000596578/,2000.0,7200.0,64000.0,SerialATA600,14938
73,91,SEAGATE ST4000NE001 [4TB SATA600 7200],https://kakaku.com/item/K0001192619/,4000.0,7200.0,128000.0,SerialATA600,19980
74,92,SEAGATE ST6000DM004 [6TB SATA600 7200],https://kakaku.com/item/K0000930242/,6000.0,7200.0,256000.0,SerialATA600,20600
75,93,WESTERN DIGITAL WD6003FRYZ [6TB SATA600 7200],https://kakaku.com/item/K0001207346/,6000.0,7200.0,256000.0,SerialATA600,29778
76,94,HGST HUH721010ALE604 [10TB SATA600 7200],https://kakaku.com/item/K0000835204/,10000.0,7200.0,256000.0,SerialATA600,49000
77,98,SEAGATE ST10000VX0004 [10TB SATA600 7200],https://kakaku.com/item/K0000930253/,10000.0,7200.0,256000.0,SerialATA600,33580
78,99,HGST HUH721008ALE600 [8TB SATA600 7200],https://kakaku.com/item/K0000835197/,8000.0,7200.0,256000.0,SerialATA600,41200
79,101,WESTERN DIGITAL WD2002FFSX [2TB SATA600 7200],https://kakaku.com/item/K0000921987/,2000.0,7200.0,64000.0,SerialATA600,14441
80,102,WESTERN DIGITAL WD6003FFBX [6TB SATA600 7200],https://kakaku.com/item/K0001044791/,6000.0,7200.0,256000.0,SerialATA600,29480
81,103,SEAGATE ST10000VN0008 [10TB SATA600 7200],https://kakaku.com/item/K0001167552/,10000.0,7200.0,256000.0,SerialATA600,34800
82,104,WESTERN DIGITAL HUS728T8TALE6L4 [8TB SATA600 7200],https://kakaku.com/item/K0001114938/,8000.0,7200.0,256000.0,SerialATA600,38045
83,105,WESTERN DIGITAL WD101KFBX [10TB SATA600 7200],https://kakaku.com/item/K0000972161/,10000.0,7200.0,256000.0,SerialATA600,49700
84,106,SEAGATE ST10000NE0008 [10TB SATA600 7200],https://kakaku.com/item/K0001167553/,10000.0,7200.0,256000.0,SerialATA600,53000
85,107,WESTERN DIGITAL HUH721212ALE604 [12TB SATA600 7200],https://kakaku.com/item/K0001127994/,12000.0,7200.0,256000.0,SerialATA600,59675
86,108,WESTERN DIGITAL WD121KFBX [12TB SATA600 7200],https://kakaku.com/item/K0001163679/,12000.0,7200.0,256000.0,SerialATA600,63574
87,109,SEAGATE ST16000NE000 [16TB SATA600 7200],https://kakaku.com/item/K0001179848/,16000.0,7200.0,256000.0,SerialATA600,69739
88,111,SEAGATE ST1000DM003 [1TB SATA600 7200],https://kakaku.com/item/K0000313504/,1000.0,7200.0,64000.0,0,4846
89,113,WESTERN DIGITAL WD10EZRZ-RT [1TB SATA600 5400],https://kakaku.com/item/K0000820662/,1000.0,5400.0,64000.0,SerialATA600,5929
90,116,HGST HUS722T1TALA604 [1TB SATA600 7200],https://kakaku.com/item/K0000935362/,1000.0,7200.0,128000.0,SerialATA600,10361
91,117,SEAGATE ST2000NE0025 [2TB SATA600 7200],https://kakaku.com/item/K0000951728/,2000.0,7200.0,128000.0,SerialATA600,13033
92,119,WESTERN DIGITAL WD8003FFBX [8TB SATA600 7200],https://kakaku.com/item/K0001058220/,8000.0,7200.0,256000.0,SerialATA600,40499
93,120,SEAGATE ST10000DM0004 [10TB SATA600 7200],https://kakaku.com/item/K0000909153/,10000.0,7200.0,256000.0,SerialATA600,45244
94,121,WESTERN DIGITAL WD141KFGX [14TB SATA600 7200],https://kakaku.com/item/K0001220515/,14000.0,7200.0,512000.0,SerialATA600,72800
95,124,東芝 DT01ACA200BOX [2TB SATA 7200],https://kakaku.com/item/K0000438644/,2000.0,7200.0,64000.0,0,8860
96,125,東芝 DT01ABA200V [2TB SATA600 5700],https://kakaku.com/item/K0000406695/,2000.0,5700.0,32000.0,SerialATA600,8900
97,126,HGST HUS724020ALA640 [2TB SATA600 7200],https://kakaku.com/item/K0000506548/,2000.0,7200.0,64000.0,SerialATA600,9008
98,127,SEAGATE ST2000DL003 [2TB SATA600 5900],https://kakaku.com/item/K0000183490/,2000.0,5900.0,64000.0,0,9494
99,128,SEAGATE ST1000NM0008 [1TB SATA600 7200],https://kakaku.com/item/K0001035507/,1000.0,7200.0,128000.0,SerialATA600,9628
100,130,SEAGATE ST2000NM0008 [2TB SATA600 7200],https://kakaku.com/item/K0001035506/,2000.0,7200.0,128000.0,SerialATA600,13420
101,131,SEAGATE ST4000NM0035 [4TB SATA600 7200],https://kakaku.com/item/K0001051523/,4000.0,7200.0,128000.0,SerialATA600,23100
102,132,WESTERN DIGITAL WD6002FZWX [6TB SATA600 7200],https://kakaku.com/item/K0000940285/,6000.0,7200.0,128000.0,SerialATA600,32565
103,133,WESTERN DIGITAL WD101PURZ [10TB SATA600 7200],https://kakaku.com/item/K0001078043/,10000.0,7200.0,256000.0,SerialATA600,34580
104,134,SEAGATE ST10000NM0086 [10TB SATA600 7200],https://kakaku.com/item/K0001051525/,10000.0,7200.0,256000.0,SerialATA600,42569
105,135,WESTERN DIGITAL WD102KRYZ [10TB SATA600 7200],https://kakaku.com/item/K0001220516/,10000.0,7200.0,256000.0,SerialATA600,47495
106,136,HGST HUH721010ALE600 [10TB SATA600 7200],https://kakaku.com/item/K0000835196/,10000.0,7200.0,256000.0,SerialATA600,48900
107,138,SEAGATE ST3500418AS (500GB SATA300 7200),https://kakaku.com/item/K0000014805/,500.0,7200.0,16000.0,SerialATA300,4154
108,140,東芝 DT01ABA100V [1TB SATA600 5700],https://kakaku.com/item/K0000406697/,1000.0,5700.0,32000.0,SerialATA600,6480
109,142,WESTERN DIGITAL WD05PURZ [500GB SATA600 5400],https://kakaku.com/item/K0000966640/,500.0,5400.0,64000.0,SerialATA600,7185
110,143,SEAGATE ST31000528AS (1TB SATA300 7200),https://kakaku.com/item/K0000014807/,1000.0,7200.0,32000.0,SerialATA300,7319
111,144,WESTERN DIGITAL WD1001FALS (1TB SATA300 7200),https://kakaku.com/item/05302515903/,1000.0,7200.0,32000.0,SerialATA300,7417
112,150,東芝 DT01ABA300V [3TB SATA600 5940],https://kakaku.com/item/K0000406694/,3000.0,5940.0,32000.0,SerialATA600,9980
113,152,WESTERN DIGITAL WD2503ABYZ [250GB SATA600 7200],https://kakaku.com/item/K0000651713/,250.0,7200.0,64000.0,SerialATA600,10181
114,157,WESTERN DIGITAL WD40EFRX [4TB SATA600 5400],https://kakaku.com/item/K0000573468/,4000.0,5400.0,64000.0,SerialATA600,18655
115,158,WESTERN DIGITAL WD4002FYYZ [4TB SATA600 7200],https://kakaku.com/item/K0000872594/,4000.0,7200.0,128000.0,SerialATA600,19600
116,160,SEAGATE ST3000NM0005 [3TB SATA600 7200],https://kakaku.com/item/K0000956538/,3000.0,7200.0,128000.0,SerialATA600,23759
117,161,SEAGATE ST6000NE000 [6TB SATA600 7200],https://kakaku.com/item/K0001192618/,6000.0,7200.0,256000.0,SerialATA600,31479
118,163,SEAGATE ST8000NE001 [8TB SATA600 7200],https://kakaku.com/item/K0001192617/,8000.0,7200.0,256000.0,SerialATA600,32978
119,164,SEAGATE ST8000NE0004 [8TB SATA600 7200],https://kakaku.com/item/K0000980073/,8000.0,7200.0,256000.0,SerialATA600,34429
120,166,SEAGATE ST8000NE0021 [8TB SATA600 7200],https://kakaku.com/item/K0000930245/,8000.0,7200.0,256000.0,SerialATA600,48920
121,167,SEAGATE ST10000NM0016 [10TB SATA600 7200],https://kakaku.com/item/K0000870039/,10000.0,7200.0,256000.0,SerialATA600,50738
122,168,WESTERN DIGITAL WD140PURZ [14TB SATA600 7200],https://kakaku.com/item/K0001221781/,14000.0,7200.0,512000.0,SerialATA600,55787
123,169,HGST HUS726060ALA640 [6TB SATA600 7200],https://kakaku.com/item/K0000591565/,6000.0,7200.0,64000.0,SerialATA600,59160
124,172,SEAGATE ST1000NM0011 [1TB SATA600 7200],https://kakaku.com/item/K0000276899/,1000.0,7200.0,64000.0,0,4648
125,173,SEAGATE ST1500DL003 [1.5TB SATA600 5900],https://kakaku.com/item/K0000185739/,1500.0,5900.0,64000.0,0,5736
126,174,東芝 DT01ABA050V [500GB SATA600 5700],https://kakaku.com/item/K0000406699/,500.0,5700.0,32000.0,SerialATA600,5800
127,175,東芝 DT01ACA050BOX [500GB SATA 7200],https://kakaku.com/item/K0000438642/,500.0,7200.0,32000.0,0,6322
128,176,東芝 DT01ACA100BOX [1TB SATA 7200],https://kakaku.com/item/K0000438643/,1000.0,7200.0,32000.0,0,6390
129,178,ロジテック 【直販モデル】 LHD-DA10SAKWGP [1TB SATA300],https://kakaku.com/item/K0000343347/,1000.0,5400.0,64000.0,SerialATA300,6600
130,179,WESTERN DIGITAL WD5002AALX [500GB SATA600 7200],https://kakaku.com/item/K0000221784/,500.0,7200.0,32000.0,0,6658
131,181,WESTERN DIGITAL WD5003AZEX [500GB SATA600 7200],https://kakaku.com/item/K0000411658/,500.0,7200.0,64000.0,SerialATA600,7952
132,182,ロジテック 【直販モデル】 LHD-DA20SAKWGP [2TB SATA300],https://kakaku.com/item/K0000343349/,2000.0,5400.0,64000.0,SerialATA300,8030
133,183,東芝 MK2002TSKB [2TB SATA300 7200],https://kakaku.com/item/K0000184544/,2000.0,7200.0,64000.0,SerialATA300,9200
134,184,SEAGATE ST3000DM008 [3TB SATA600 7200],https://kakaku.com/item/K0000902238/,3000.0,7200.0,64000.0,SerialATA600,10463
135,186,SEAGATE ST33000651AS [3TB SATA600 7200],https://kakaku.com/item/K0000242120/,3000.0,7200.0,64000.0,0,11070
136,188,SEAGATE ST2000VM003 [2TB SATA600 5900],https://kakaku.com/item/K0000665228/,2000.0,5900.0,64000.0,SerialATA600,11280
137,192,ロジテック 【直販モデル】 LHD-DA40SAKWGP [4TB SATA600 5400],https://kakaku.com/item/K0000724971/,4000.0,5400.0,64000.0,SerialATA600,11880
138,195,東芝 DT01ACA300BOX [3TB SATA 7200],https://kakaku.com/item/K0000438645/,3000.0,7200.0,64000.0,0,12158
139,197,SEAGATE ST1000NM0055 [1TB SATA600 7200],https://kakaku.com/item/K0000935363/,1000.0,7200.0,128000.0,SerialATA600,12480
140,203,WESTERN DIGITAL WD40EZRZ-RT [4TB SATA600 5400],https://kakaku.com/item/K0000820663/,4000.0,5400.0,64000.0,SerialATA600,16141
141,204,SEAGATE ST2000NM0055 [2TB SATA600 7200],https://kakaku.com/item/K0000925300/,2000.0,7200.0,128000.0,SerialATA600,16980
142,206,ロジテック 【直販モデル】 LHD-DA40SAKWR [4TB SATA600 7200],https://kakaku.com/item/K0000724970/,4000.0,7200.0,64000.0,SerialATA600,17930
143,208,WESTERN DIGITAL WD2004FBYZ [2TB SATA600 7200],https://kakaku.com/item/K0000876594/,2000.0,7200.0,128000.0,SerialATA600,18329
144,209,ロジテック 【直販モデル】 LHD-DA20SAKWRP [2TB SATA600 7200],https://kakaku.com/item/K0000724201/,2000.0,7200.0,64000.0,SerialATA600,21340
145,211,WESTERN DIGITAL HUS726T4TALE6L4 [4TB SATA600 7200],https://kakaku.com/item/K0001114937/,4000.0,7200.0,256000.0,SerialATA600,23100
146,213,SEAGATE ST4000NE0025 [4TB SATA600 7200],https://kakaku.com/item/K0000951727/,4000.0,7200.0,128000.0,SerialATA600,24980
147,214,SEAGATE ST6000VN0041 [6TB SATA600 7200],https://kakaku.com/item/K0000896130/,6000.0,7200.0,128000.0,SerialATA600,25270
148,216,SEAGATE ST8000DM0004 [8TB SATA600 7200],https://kakaku.com/item/K0000980074/,8000.0,7200.0,256000.0,SerialATA600,29400
149,219,SEAGATE ST6000NE0023 [6TB SATA600 7200],https://kakaku.com/item/K0001032562/,6000.0,7200.0,256000.0,SerialATA600,31549
150,220,ロジテック 【直販モデル】 LHD-DA60SAKWR [6TB SATA600 7200],https://kakaku.com/item/K0000724967/,6000.0,7200.0,64000.0,SerialATA600,31790
151,221,ロジテック 【直販モデル】 LHD-DA40SAKWRP [4TB SATA600 7200],https://kakaku.com/item/K0000724203/,4000.0,7200.0,64000.0,SerialATA600,33440
152,222,ロジテック 【直販モデル】 LHD-DA60SAKWGP [6TB SATA600 5400],https://kakaku.com/item/K0000724969/,6000.0,5400.0,64000.0,SerialATA600,33440
153,223,SEAGATE ST6000NM0115 [6TB SATA600 7200],https://kakaku.com/item/K0001051524/,6000.0,7200.0,256000.0,SerialATA600,33456
154,224,SEAGATE ST8000NM0055 [8TB SATA600 7200],https://kakaku.com/item/K0000880170/,8000.0,7200.0,256000.0,SerialATA600,34800
155,226,SEAGATE ST6000NE0021 [6TB SATA600 7200],https://kakaku.com/item/K0000930244/,6000.0,7200.0,256000.0,SerialATA600,36710
156,229,SEAGATE ST10000NE0004 [10TB SATA600 7200],https://kakaku.com/item/K0000930246/,10000.0,7200.0,256000.0,SerialATA600,44470
157,233,SEAGATE ST12000NE0007 [12TB SATA600 7200],https://kakaku.com/item/K0001004784/,12000.0,7200.0,256000.0,SerialATA600,49500
158,234,WESTERN DIGITAL WD121PURZ [12TB SATA600 7200],https://kakaku.com/item/K0001080062/,12000.0,7200.0,256000.0,SerialATA600,50599
159,235,ロジテック 【直販モデル】 LHD-DA80SAKWR [8TB SATA600 5400],https://kakaku.com/item/K0000876887/,8000.0,5400.0,64000.0,SerialATA600,55440
160,236,SEAGATE ST12000NE0008 [12TB SATA600 7200],https://kakaku.com/item/K0001192616/,12000.0,7200.0,256000.0,SerialATA600,56700
161,239,SEAGATE ST12000NM0007 [12TB SATA600 7200],https://kakaku.com/item/K0001009304/,12000.0,7200.0,256000.0,SerialATA600,61137
162,247,SEAGATE ST14000DM001 [14TB SATA600 7200],https://kakaku.com/item/K0001101159/,14000.0,7200.0,256000.0,SerialATA600,85310
163,251,WESTERN DIGITAL WD10SPZX [1TB 7mm],https://kakaku.com/item/K0000983114/,1000.0,5400.0,128000.0,SerialATA600,5280
164,252,東芝 MQ01ABD100 [1TB 9.5mm],https://kakaku.com/item/K0000276595/,1000.0,5400.0,8000.0,SerialATA300,4674
165,253,WESTERN DIGITAL WD20SPZX [2TB 7mm],https://kakaku.com/item/K0001035209/,2000.0,5400.0,128000.0,SerialATA600,9793
166,254,SEAGATE ST2000LX001 [2TB 7mm],https://kakaku.com/item/K0000930260/,2000.0,5400.0,128000.0,SerialATA600,8280
167,256,WESTERN DIGITAL WD40NPZZ [4TB 15mm],https://kakaku.com/item/K0000976782/,4000.0,5400.0,8000.0,SerialATA600,15645
168,257,東芝 MQ01ABD050 [500GB 9.5mm],https://kakaku.com/item/K0000276597/,500.0,5400.0,8000.0,0,3442
169,258,SEAGATE ST1000LM048 [1TB 7mm],https://kakaku.com/item/K0000920811/,1000.0,5400.0,128000.0,SerialATA600,4818
170,260,SEAGATE ST1000LM049 [1TB 7mm],https://kakaku.com/item/K0001055642/,1000.0,7200.0,128000.0,SerialATA600,6780
171,261,SEAGATE ST4000LM024 [4TB 15mm],https://kakaku.com/item/K0000930256/,4000.0,5400.0,128000.0,SerialATA600,13800
172,262,WESTERN DIGITAL WD5000LPCX [500GB 7mm],https://kakaku.com/item/K0000862479/,500.0,5400.0,16000.0,SerialATA600,4180
173,263,SEAGATE ST2000LM015 [2TB 7mm],https://kakaku.com/item/K0000920810/,2000.0,5400.0,128000.0,SerialATA600,8690
174,264,WESTERN DIGITAL WD5000MPCK [500GB 5mm],https://kakaku.com/item/K0000624750/,500.0,5400.0,16000.0,SerialATA600,3200
175,265,東芝 MQ01ABD100M [1TB 9.5mm],https://kakaku.com/item/K0000914396/,1000.0,5400.0,8000.0,SerialATA600,4665
176,266,SEAGATE ST2000LM007 [2TB 7mm],https://kakaku.com/item/K0000874961/,2000.0,5400.0,128000.0,SerialATA600,7394
177,269,SEAGATE ST1000LX015 [1TB 7mm],https://kakaku.com/item/K0000930259/,1000.0,5400.0,128000.0,SerialATA600,7280
178,272,WESTERN DIGITAL WD3200LPVX [320GB 7mm],https://kakaku.com/item/K0000519162/,320.0,5400.0,8000.0,SerialATA600,2472
179,273,HGST HTS545050A7E680 [500GB 7mm],https://kakaku.com/item/K0000694059/,500.0,5400.0,8000.0,SerialATA600,3461
180,274,SEAGATE ST250LT003 [250GB 7mm],https://kakaku.com/item/K0000393713/,250.0,5400.0,16000.0,SerialATA300,2176
181,275,WESTERN DIGITAL WD5000LPVX [500GB 7mm],https://kakaku.com/item/K0000512071/,500.0,5400.0,8000.0,SerialATA600,3461
182,276,東芝 MK3276GSX [320GB 9.5mm],https://kakaku.com/item/K0000255902/,320.0,5400.0,8000.0,SerialATA300,3740
183,277,HGST HTS541680J9AT00 (80G 9.5mm),https://kakaku.com/item/05360410350/,80.0,5400.0,8000.0,UltraATA100,4578
184,278,SEAGATE ST250LT007 [250GB 7mm],https://kakaku.com/item/K0000393719/,250.0,7200.0,16000.0,SerialATA300,3022
185,279,WESTERN DIGITAL WD3200BEVT (320G 9.5mm),https://kakaku.com/item/05366010527/,320.0,5400.0,8000.0,0,3560
